h_lenght;eps;algorithm_type;num_threads;method_type;n_of_iter;error_in_norm_inf;time_taken
0.0005;1e-06;Sequential;1;Jacobi;23;3.25237e-07;1.31077
0.0005;1e-06;Sequential;1;Seidel_RB;13;8.82071e-08;0.708163
0.0005;1e-06;Parallel;1;Jacobi;23;3.25237e-07;1.31577
0.0005;1e-06;Parallel;1;Seidel_RB;22;5.79349e-07;1.25499
0.0005;1e-06;Parallel;2;Jacobi;23;3.25237e-07;0.804702
0.0005;1e-06;Parallel;2;Seidel_RB;22;5.79349e-07;0.676976
0.0005;1e-06;Parallel;4;Jacobi;23;3.25237e-07;0.449627
0.0005;1e-06;Parallel;4;Seidel_RB;22;5.79349e-07;0.402217
0.0005;1e-06;Parallel;6;Jacobi;23;3.25237e-07;0.343797
0.0005;1e-06;Parallel;6;Seidel_RB;22;5.79349e-07;0.320425
0.0005;1e-06;Parallel;8;Jacobi;23;3.25237e-07;0.301238
0.0005;1e-06;Parallel;8;Seidel_RB;22;5.79349e-07;0.290826
0.0005;1e-06;Parallel;12;Jacobi;23;3.25237e-07;0.269104
0.0005;1e-06;Parallel;12;Seidel_RB;22;5.79349e-07;0.247372
0.0005;1e-06;Parallel;16;Jacobi;23;3.25237e-07;0.288861
0.0005;1e-06;Parallel;16;Seidel_RB;22;5.79349e-07;0.273867
0.0005;1e-06;Parallel;18;Jacobi;23;3.25237e-07;0.372608
0.0005;1e-06;Parallel;18;Seidel_RB;22;5.79349e-07;0.348801

