h_lenght,algorithm_type,num_threads,method_type,n_of_iter,error_in_norm_inf,time_taken
0.1,Sequential,1,Jacobi,361,0.00349889,0.000557426
0.1,Sequential,1,Seidel,361,0.0036233,0.000391643
0.1,Sequential,1,Seidel_RB,361,0.00275024,0.000398919
0.1,Parallel,1,Jacobi,361,0.00659858,0.000753605
0.1,Parallel,1,Seidel,361,0.00659859,0.000391085
0.1,Parallel,1,Seidel_RB,361,0.00659859,0.000417443
0.1,Parallel,2,Jacobi,361,0.00659858,0.000819066
0.1,Parallel,2,Seidel,361,0.00659859,0.000359494
0.1,Parallel,2,Seidel_RB,361,0.00629126,0.000262017
0.1,Parallel,4,Jacobi,361,0.00533837,0.00049696
0.1,Parallel,4,Seidel,361,0.00376241,0.000261086
0.1,Parallel,4,Seidel_RB,361,0.00376241,0.000261803
0.1,Parallel,6,Jacobi,361,0.00369791,0.00049684
0.1,Parallel,6,Seidel,361,0.0032993,0.000269557
0.1,Parallel,6,Seidel_RB,361,0.0022913,0.000261817
