u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10,u_10
u_0,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
u_1,0.00000000e+00,2.79141442e-02,5.30958576e-02,7.30801784e-02,8.59109022e-02,9.03320683e-02,8.59109022e-02,7.30801784e-02,5.30958576e-02,2.79141442e-02,0.00000000e+00
u_2,0.00000000e+00,4.96358041e-02,9.44129099e-02,1.29948222e-01,1.52763297e-01,1.60624836e-01,1.52763297e-01,1.29948222e-01,9.44129099e-02,4.96358041e-02,0.00000000e+00
u_3,0.00000000e+00,6.51566108e-02,1.23935239e-01,1.70582222e-01,2.00531428e-01,2.10851222e-01,2.00531428e-01,1.70582222e-01,1.23935239e-01,6.51566108e-02,0.00000000e+00
u_4,0.00000000e+00,7.44711264e-02,1.41652500e-01,1.94967940e-01,2.29198560e-01,2.40993627e-01,2.29198560e-01,1.94967940e-01,1.41652500e-01,7.44711264e-02,0.00000000e+00
u_5,0.00000000e+00,7.75762935e-02,1.47558879e-01,2.03097373e-01,2.38755281e-01,2.51042159e-01,2.38755281e-01,2.03097373e-01,1.47558879e-01,7.75762935e-02,0.00000000e+00
u_6,0.00000000e+00,7.44711264e-02,1.41652500e-01,1.94967940e-01,2.29198560e-01,2.40993627e-01,2.29198560e-01,1.94967940e-01,1.41652500e-01,7.44711264e-02,0.00000000e+00
u_7,0.00000000e+00,6.51566108e-02,1.23935239e-01,1.70582222e-01,2.00531428e-01,2.10851222e-01,2.00531428e-01,1.70582222e-01,1.23935239e-01,6.51566108e-02,0.00000000e+00
u_8,0.00000000e+00,4.96358041e-02,9.44129099e-02,1.29948222e-01,1.52763297e-01,1.60624836e-01,1.52763297e-01,1.29948222e-01,9.44129099e-02,4.96358041e-02,0.00000000e+00
u_9,0.00000000e+00,2.79141442e-02,5.30958576e-02,7.30801784e-02,8.59109022e-02,9.03320683e-02,8.59109022e-02,7.30801784e-02,5.30958576e-02,2.79141442e-02,0.00000000e+00
u_10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
