u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10,u_10
u_0,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
u_1,0.00000000e+00,2.79142490e-02,5.30960664e-02,7.30804768e-02,8.59112643e-02,9.03324604e-02,8.59112866e-02,7.30805165e-02,5.30961128e-02,2.79142843e-02,0.00000000e+00
u_2,0.00000000e+00,4.96360130e-02,9.44133257e-02,1.29948816e-01,1.52764017e-01,1.60625616e-01,1.52764061e-01,1.29948894e-01,9.44134159e-02,4.96360812e-02,0.00000000e+00
u_3,0.00000000e+00,6.51569093e-02,1.23935832e-01,1.70583069e-01,2.00532456e-01,2.10852334e-01,2.00532518e-01,1.70583179e-01,1.23935960e-01,6.51570051e-02,0.00000000e+00
u_4,0.00000000e+00,7.44714885e-02,1.41653220e-01,1.94968967e-01,2.29199806e-01,2.40994976e-01,2.29199882e-01,1.94969101e-01,1.41653374e-01,7.44716039e-02,0.00000000e+00
u_5,0.00000000e+00,7.75766856e-02,1.47559658e-01,2.03098485e-01,2.38756630e-01,2.51043620e-01,2.38756713e-01,2.03098631e-01,1.47559825e-01,7.75768099e-02,0.00000000e+00
u_6,0.00000000e+00,7.44715107e-02,1.41653264e-01,1.94969030e-01,2.29199882e-01,2.40995059e-01,2.29199963e-01,1.94969173e-01,1.41653427e-01,7.44716316e-02,0.00000000e+00
u_7,0.00000000e+00,6.51569489e-02,1.23935910e-01,1.70583179e-01,2.00532590e-01,2.10852480e-01,2.00532661e-01,1.70583304e-01,1.23936052e-01,6.51570532e-02,0.00000000e+00
u_8,0.00000000e+00,4.96360593e-02,9.44134159e-02,1.29948943e-01,1.52764171e-01,1.60625783e-01,1.52764224e-01,1.29949035e-01,9.44135195e-02,4.96361352e-02,0.00000000e+00
u_9,0.00000000e+00,2.79142843e-02,5.30961347e-02,7.30805727e-02,8.59113797e-02,9.03325847e-02,8.59114074e-02,7.30806208e-02,5.30961887e-02,2.79143237e-02,0.00000000e+00
u_10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
