u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10,u_10
u_0,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
u_1,0.00000000e+00,2.79142626e-02,5.30961084e-02,7.30805060e-02,8.59113265e-02,9.03324948e-02,8.59113458e-02,7.30805425e-02,5.30961447e-02,2.79142912e-02,0.00000000e+00
u_2,0.00000000e+00,4.96360550e-02,9.44133615e-02,1.29948906e-01,1.52764069e-01,1.60625719e-01,1.52764110e-01,1.29948970e-01,9.44134414e-02,4.96361015e-02,0.00000000e+00
u_3,0.00000000e+00,6.51569384e-02,1.23935922e-01,1.70583128e-01,2.00532585e-01,2.10852401e-01,2.00532637e-01,1.70583228e-01,1.23936021e-01,6.51570162e-02,0.00000000e+00
u_4,0.00000000e+00,7.44715507e-02,1.41653272e-01,1.94969096e-01,2.29199880e-01,2.40995122e-01,2.29199949e-01,1.94969206e-01,1.41653408e-01,7.44716293e-02,0.00000000e+00
u_5,0.00000000e+00,7.75767200e-02,1.47559762e-01,2.03098552e-01,2.38756776e-01,2.51043695e-01,2.38756845e-01,2.03098684e-01,1.47559890e-01,7.75768207e-02,0.00000000e+00
u_6,0.00000000e+00,7.44715700e-02,1.41653313e-01,1.94969149e-01,2.29199949e-01,2.40995191e-01,2.29200024e-01,1.94969264e-01,1.41653456e-01,7.44716520e-02,0.00000000e+00
u_7,0.00000000e+00,6.51569750e-02,1.23935987e-01,1.70583228e-01,2.00532694e-01,2.10852533e-01,2.00532753e-01,1.70583340e-01,1.23936094e-01,6.51570595e-02,0.00000000e+00
u_8,0.00000000e+00,4.96360912e-02,9.44134414e-02,1.29949004e-01,1.52764205e-01,1.60625847e-01,1.52764253e-01,1.29949078e-01,9.44135321e-02,4.96361431e-02,0.00000000e+00
u_9,0.00000000e+00,2.79142912e-02,5.30961549e-02,7.30805837e-02,8.59114051e-02,9.03325955e-02,8.59114278e-02,7.30806271e-02,5.30961966e-02,2.79143237e-02,0.00000000e+00
u_10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
