u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10,u_10
u_0,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
u_1,0.00000000e+00,2.79144263e-02,5.30963941e-02,7.30809169e-02,8.59117703e-02,9.03329811e-02,8.59117703e-02,7.30809169e-02,5.30963941e-02,2.79144263e-02,0.00000000e+00
u_2,0.00000000e+00,4.96363406e-02,9.44139304e-02,1.29949627e-01,1.52764948e-01,1.60626572e-01,1.52764948e-01,1.29949627e-01,9.44139304e-02,4.96363406e-02,0.00000000e+00
u_3,0.00000000e+00,6.51573493e-02,1.23936643e-01,1.70584155e-01,2.00533701e-01,2.10853612e-01,2.00533701e-01,1.70584155e-01,1.23936643e-01,6.51573493e-02,0.00000000e+00
u_4,0.00000000e+00,7.44719945e-02,1.41654151e-01,1.94970213e-01,2.29201231e-01,2.40996437e-01,2.29201231e-01,1.94970213e-01,1.41654151e-01,7.44719945e-02,0.00000000e+00
u_5,0.00000000e+00,7.75772063e-02,1.47560615e-01,2.03099763e-01,2.38758091e-01,2.51045113e-01,2.38758091e-01,2.03099763e-01,1.47560615e-01,7.75772063e-02,0.00000000e+00
u_6,0.00000000e+00,7.44719945e-02,1.41654151e-01,1.94970213e-01,2.29201231e-01,2.40996437e-01,2.29201231e-01,1.94970213e-01,1.41654151e-01,7.44719945e-02,0.00000000e+00
u_7,0.00000000e+00,6.51573493e-02,1.23936643e-01,1.70584155e-01,2.00533701e-01,2.10853612e-01,2.00533701e-01,1.70584155e-01,1.23936643e-01,6.51573493e-02,0.00000000e+00
u_8,0.00000000e+00,4.96363406e-02,9.44139304e-02,1.29949627e-01,1.52764948e-01,1.60626572e-01,1.52764948e-01,1.29949627e-01,9.44139304e-02,4.96363406e-02,0.00000000e+00
u_9,0.00000000e+00,2.79144263e-02,5.30963941e-02,7.30809169e-02,8.59117703e-02,9.03329811e-02,8.59117703e-02,7.30809169e-02,5.30963941e-02,2.79144263e-02,0.00000000e+00
u_10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
