u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10,u_10
u_0,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
u_1,0.00000000e+00,2.79144264e-02,5.30963943e-02,7.30809171e-02,8.59117707e-02,9.03329815e-02,8.59117707e-02,7.30809172e-02,5.30963944e-02,2.79144265e-02,0.00000000e+00
u_2,0.00000000e+00,4.96363408e-02,9.44139308e-02,1.29949627e-01,1.52764949e-01,1.60626573e-01,1.52764949e-01,1.29949628e-01,9.44139310e-02,4.96363409e-02,0.00000000e+00
u_3,0.00000000e+00,6.51573496e-02,1.23936644e-01,1.70584156e-01,2.00533702e-01,2.10853613e-01,2.00533702e-01,1.70584156e-01,1.23936644e-01,6.51573497e-02,0.00000000e+00
u_4,0.00000000e+00,7.44719948e-02,1.41654152e-01,1.94970214e-01,2.29201233e-01,2.40996438e-01,2.29201233e-01,1.94970214e-01,1.41654152e-01,7.44719950e-02,0.00000000e+00
u_5,0.00000000e+00,7.75772067e-02,1.47560616e-01,2.03099764e-01,2.38758092e-01,2.51045115e-01,2.38758092e-01,2.03099764e-01,1.47560616e-01,7.75772068e-02,0.00000000e+00
u_6,0.00000000e+00,7.44719949e-02,1.41654152e-01,1.94970214e-01,2.29201233e-01,2.40996438e-01,2.29201233e-01,1.94970214e-01,1.41654152e-01,7.44719950e-02,0.00000000e+00
u_7,0.00000000e+00,6.51573497e-02,1.23936644e-01,1.70584156e-01,2.00533703e-01,2.10853613e-01,2.00533703e-01,1.70584156e-01,1.23936644e-01,6.51573498e-02,0.00000000e+00
u_8,0.00000000e+00,4.96363409e-02,9.44139310e-02,1.29949628e-01,1.52764949e-01,1.60626573e-01,1.52764949e-01,1.29949628e-01,9.44139311e-02,4.96363410e-02,0.00000000e+00
u_9,0.00000000e+00,2.79144265e-02,5.30963944e-02,7.30809173e-02,8.59117708e-02,9.03329817e-02,8.59117709e-02,7.30809173e-02,5.30963944e-02,2.79144265e-02,0.00000000e+00
u_10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
