time;r_1_1;r_1_2;r_1_3;r_2_1;r_2_2;r_2_3;r_3_1;r_3_2;r_3_3;r_4_1;r_4_2;r_4_3
1.0000000149011612e-01;9.9718779325485229e-01;8.9999996125698090e-02;0.0000000000000000e+00;-8.9999996125698090e-02;9.9718779325485229e-01;0.0000000000000000e+00;-9.9718779325485229e-01;-8.9999996125698090e-02;0.0000000000000000e+00;8.9999996125698090e-02;-9.9718779325485229e-01;0.0000000000000000e+00;
2.0000000298023224e-01;9.8878651857376099e-01;1.7949551343917847e-01;0.0000000000000000e+00;-1.7949551343917847e-01;9.8878651857376099e-01;0.0000000000000000e+00;-9.8878651857376099e-01;-1.7949551343917847e-01;0.0000000000000000e+00;1.7949551343917847e-01;-9.8878651857376099e-01;0.0000000000000000e+00;
3.0000001192092896e-01;9.7490459680557251e-01;2.6799511909484863e-01;0.0000000000000000e+00;-2.6799511909484863e-01;9.7490459680557251e-01;0.0000000000000000e+00;-9.7490459680557251e-01;-2.6799511909484863e-01;0.0000000000000000e+00;2.6799511909484863e-01;-9.7490459680557251e-01;0.0000000000000000e+00;
4.0000000596046448e-01;9.5571708679199219e-01;3.5503432154655457e-01;0.0000000000000000e+00;-3.5503432154655457e-01;9.5571708679199219e-01;0.0000000000000000e+00;-9.5571708679199219e-01;-3.5503432154655457e-01;0.0000000000000000e+00;3.5503432154655457e-01;-9.5571708679199219e-01;0.0000000000000000e+00;
5.0000000000000000e-01;9.3145751953125000e-01;4.4018653035163879e-01;0.0000000000000000e+00;-4.4018653035163879e-01;9.3145751953125000e-01;0.0000000000000000e+00;-9.3145751953125000e-01;-4.4018653035163879e-01;0.0000000000000000e+00;4.4018653035163879e-01;-9.3145751953125000e-01;0.0000000000000000e+00;
6.0000002384185791e-01;9.0240794420242310e-01;5.2307146787643433e-01;0.0000000000000000e+00;-5.2307146787643433e-01;9.0240794420242310e-01;0.0000000000000000e+00;-9.0240794420242310e-01;-5.2307146787643433e-01;0.0000000000000000e+00;5.2307146787643433e-01;-9.0240794420242310e-01;0.0000000000000000e+00;
7.0000004768371582e-01;8.6888754367828369e-01;6.0336053371429443e-01;0.0000000000000000e+00;-6.0336053371429443e-01;8.6888754367828369e-01;0.0000000000000000e+00;-8.6888754367828369e-01;-6.0336053371429443e-01;0.0000000000000000e+00;6.0336053371429443e-01;-8.6888754367828369e-01;0.0000000000000000e+00;
8.0000007152557373e-01;8.3124130964279175e-01;6.8077957630157471e-01;0.0000000000000000e+00;-6.8077957630157471e-01;8.3124130964279175e-01;0.0000000000000000e+00;-8.3124130964279175e-01;-6.8077957630157471e-01;0.0000000000000000e+00;6.8077957630157471e-01;-8.3124130964279175e-01;0.0000000000000000e+00;
9.0000009536743164e-01;7.8982913494110107e-01;7.5510865449905396e-01;0.0000000000000000e+00;-7.5510865449905396e-01;7.8982913494110107e-01;0.0000000000000000e+00;-7.8982913494110107e-01;-7.5510865449905396e-01;0.0000000000000000e+00;7.5510865449905396e-01;-7.8982913494110107e-01;0.0000000000000000e+00;
1.0000001192092896e+00;7.4501603841781616e-01;8.2618010044097900e-01;0.0000000000000000e+00;-8.2618010044097900e-01;7.4501603841781616e-01;0.0000000000000000e+00;-7.4501603841781616e-01;-8.2618010044097900e-01;0.0000000000000000e+00;8.2618010044097900e-01;-7.4501603841781616e-01;0.0000000000000000e+00;
1.1000001430511475e+00;6.9716370105743408e-01;8.9387452602386475e-01;0.0000000000000000e+00;-8.9387452602386475e-01;6.9716370105743408e-01;0.0000000000000000e+00;-6.9716370105743408e-01;-8.9387452602386475e-01;0.0000000000000000e+00;8.9387452602386475e-01;-6.9716370105743408e-01;0.0000000000000000e+00;
1.2000001668930054e+00;6.4662402868270874e-01;9.5811623334884644e-01;0.0000000000000000e+00;-9.5811623334884644e-01;6.4662402868270874e-01;0.0000000000000000e+00;-6.4662402868270874e-01;-9.5811623334884644e-01;0.0000000000000000e+00;9.5811623334884644e-01;-6.4662402868270874e-01;0.0000000000000000e+00;
1.3000001907348633e+00;5.9373390674591064e-01;1.0188677310943604e+00;0.0000000000000000e+00;-1.0188677310943604e+00;5.9373390674591064e-01;0.0000000000000000e+00;-5.9373390674591064e-01;-1.0188677310943604e+00;0.0000000000000000e+00;1.0188677310943604e+00;-5.9373390674591064e-01;0.0000000000000000e+00;
